iteration,curr policy return,max return,median return,min return,avg return,std return,avg rollout len,num total samples,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
117,1341.9535,1362.3715,385.8265,49.5171,617.1423,511.9209,478.4059,6255149,0.09191349148750305,-6.323670864105225,0.43070000410079956,0.4799000024795532,0.5033000111579895,-35.33039855957031
118,1338.1892,1385.4797,835.3471,79.8976,730.6394,504.7408,581.8416,6313915,0.05781149864196777,-6.29128360748291,0.4296000003814697,0.4796000123023987,0.5033000111579895,-35.352699279785156
119,1326.8753,1397.366,1120.7964,60.1093,781.6755,510.1258,635.9109,6378142,-0.008061021566390991,-6.073515892028809,0.428600013256073,0.47940000891685486,0.5030999779701233,-35.38090133666992
120,1334.3742,1355.6755,548.0664,60.5679,679.5162,489.4119,541.0099,6432784,-0.054292164742946625,-6.066402435302734,0.42739999294281006,0.4790000021457672,0.5026999711990356,-35.425201416015625
121,1264.1182,1352.9396,1135.5982,28.6208,860.1645,472.5424,709.4158,6504435,0.010177627205848694,-5.780847072601318,0.426800012588501,0.4790000021457672,0.5029000043869019,-35.41780090332031
122,1337.3324,1340.7943,454.732,67.6109,678.2444,511.628,533.5941,6558328,0.0058685243129730225,-5.82918643951416,0.42660000920295715,0.4787999987602234,0.5023999810218811,-35.44139862060547
123,1337.6886,1370.4524,656.2908,40.1454,691.9195,524.8028,551.703,6614050,-0.07004457712173462,5.677151203155518,0.42570000886917114,0.47870001196861267,0.5026999711990356,-35.455101013183594
124,1327.4587,1346.6788,1040.4584,63.1098,753.1273,495.6856,611.1287,6675774,-0.1374814212322235,-5.844897270202637,0.42480000853538513,0.47850000858306885,0.5029000043869019,-35.47060012817383
125,1311.5237,1371.2596,1104.0989,53.036,762.8765,519.0189,610.3564,6737420,0.05421300232410431,-5.813777446746826,0.4237000048160553,0.47850000858306885,0.5034000277519226,-35.47990036010742
126,1364.2833,1399.0095,321.77,72.5089,591.3459,498.206,465.2871,6784414,0.05256802588701248,-5.797139644622803,0.4228000044822693,0.478300005197525,0.503000020980835,-35.49909973144531
